r,l,t
9890.33330720663,494,9054.180154561996
9886.555546104908,511,9060.187545537949
9863.222179949284,616,9067.3629488945
9867.777747750282,595,9074.32526922226
8080.838938176632,668,9082.298252820969
4341.589376926422,313,9085.92988729477
9883.16663724184,526,9092.005616426468
9866.555531680584,601,9099.037421941757
9881.722219109535,533,9105.177701950073
9890.611059904099,493,9110.849167585373
9881.55554562807,533,9117.044211864471
9873.833294689655,568,9124.553728103638
9736.499967217445,1186,9138.293234825134
3737.352437734604,394,9142.901820421219
3748.735248029232,339,9146.854858160019
9877.611085295677,551,9153.23284959793
9853.722211420536,659,9161.040359258652
9887.944380879402,505,9166.878885030746
9882.777767241001,528,9174.081047534943
3738.301004588604,340,9178.015271663666
4247.68128156662,377,9182.41142463684
9874.27771526575,566,9189.038429737091
9893.111092031002,481,9194.714238405228
9823.388847708702,795,9204.06675696373
9886.111054480076,513,9210.097316503525
9481.277721881866,2335,9238.221757888794
9377.388829529285,2802,9272.135320186615
9888.88886076212,500,9278.208427906036
4343.486505687237,299,9281.713539600372
3643.4443467855453,287,9285.097913742065
649.768123626709,69,9285.961038589478
9876.999946296215,554,9292.452147483826
9880.944388568401,536,9298.73279953003
9884.111086785793,522,9304.839482307434
9795.944396853447,919,9315.598523378372
9123.05551147461,3947,9362.580262422562
9889.277716517448,499,9369.447377681732
9707.499957561493,1317,9384.681272983551
9877.722190439701,551,9391.182329177856
9884.555513083935,520,9397.316478729248
9890.38886219263,494,9403.108056783676
9893.499950170517,480,9408.697071552277
4241.989874839783,296,9412.189827680588
9890.499980270863,493,9418.97073841095
9837.333294451237,732,9427.55028796196
9891.222189545631,490,9433.31710600853
9884.166646301746,522,9439.438075065613
9759.333284914494,1083,9452.02141904831
4254.3212396502495,453,9457.286113500595
3747.786676943302,330,9461.15591263771
9874.055557727814,567,9468.751808643341
9693.222159028053,1381,9484.693855524063
9875.166614413261,562,9491.273637771606
9746.388849437237,1142,9504.576078653336
9891.722219884396,488,9510.259449958801
3744.940972328186,279,9513.512861013412
4344.435072243214,308,9518.141260385513
9751.611061811447,1118,9531.321995973587
9649.333278954029,1578,9549.532049179077
9876.777729511261,555,9555.982263565063
3741.14670163393,684,9564.960986375809
3736.40388071537,288,9568.328084468842
3743.992409527302,438,9573.448296308517
9883.111095011234,526,9579.597738265991
9878.888866245747,545,9585.930836200714
9843.777765214443,703,9594.093409061432
9879.499965310097,543,9600.425708532333
9748.388903439045,1133,9614.626005887985
9773.888858675957,1018,9626.551590919495
9887.722214460373,506,9632.40419459343
9868.944437265396,590,9639.291259765625
9890.277718245983,494,9645.05188369751
4139.544681370258,371,9649.441609621048
9850.499943315983,673,9657.17787861824
9897.611046016216,461,9663.504776477814
9885.277712643147,517,9669.516612052917
9817.333324968815,822,9678.997542619705
3749.6838121414185,376,9683.432384729385
4242.9384407401085,340,9687.551355600357
9884.888852655888,518,9693.618398427963
9893.333314478397,480,9699.295619726181
9861.722206652164,623,9706.566786289215
9856.999972760677,644,9715.022828578949
9891.999952793121,486,9720.70517039299
9867.55554562807,596,9727.631491422653
9895.388846814632,471,9733.18503665924
9872.33330565691,575,9739.975537061691
9889.722174942493,497,9745.845274925232
3742.095274746418,318,9749.601115703583
9880.222170174122,539,9755.90727353096
9877.499991297722,552,9763.399342775345
9880.444415569305,538,9769.620058298111
9858.27773976326,638,9777.06910443306
9881.333305835724,534,9783.307838201523
9870.555509626865,583,9790.040027856827
9890.999996066093,491,9795.843584537506
4169.898812115192,335,9799.76148223877
9857.833281219006,640,9808.216995954514
7246.100321233273,465,9813.699277877808
